scope,cim,cim_class,rho_threshold,gene,n_scope_datasets,k_datasets,all_datasets_contributed,k_concordant,direction_concordant,nki_smc,nki_smc_dir,neo,neo_dir,tnbc_cl,tnbc_cl_dir,fisher_stat,fisher_p,fisher_padj,fisher_sig,stouffer_Z,stouffer_p,stouffer_padj,stouffer_sig,mean_abs_rrb,rank_in_list,in_ora_universe,used_in_ora,analysis_label
"NEO.TNBCCL","Fun","Fun_only",0.3,"MYPOP",2,2,"YES",2,"YES","NO",NA,"YES","Fun","YES","Fun",56.8029495640883,1.36070925744072e-11,6.23885194536572e-08,"YES",6.73198822177656,8.3680096531384e-12,3.83673242596396e-08,"YES",0.824,1,TRUE,TRUE,"NEO.TNBCCL | k_all_concordant | Fun-CIM | rho>=0.3 | top 200"
"NEO.TNBCCL","Fun","Fun_only",0.3,"PRKACA",2,2,"YES",2,"YES","NO",NA,"YES","Fun","YES","Fun",50.8256507777897,2.42753233993459e-10,3.2908127591106e-07,"YES",6.38110017052897,8.79101242939152e-11,2.01533959943801e-07,"YES",0.786,2,TRUE,TRUE,"NEO.TNBCCL | k_all_concordant | Fun-CIM | rho>=0.3 | top 200"
"NEO.TNBCCL","Fun","Fun_only",0.3,"STING1",2,2,"YES",2,"YES","NO",NA,"YES","Fun","YES","Fun",47.4050608754451,1.2556345778119e-09,9.59514089877929e-07,"YES",6.0976863319377,5.38073228467669e-10,8.2235525084142e-07,"YES",0.772,3,TRUE,TRUE,"NEO.TNBCCL | k_all_concordant | Fun-CIM | rho>=0.3 | top 200"
"NEO.TNBCCL","Fun","Fun_only",0.3,"CDK2AP2",2,2,"YES",2,"YES","NO",NA,"YES","Fun","YES","Fun",47.8060491415447,1.03585847874039e-09,9.4988222500494e-07,"YES",5.94398273085215,1.39089460115801e-09,1.59431293657737e-06,"YES",0.776,4,TRUE,TRUE,"NEO.TNBCCL | k_all_concordant | Fun-CIM | rho>=0.3 | top 200"
"NEO.TNBCCL","Fun","Fun_only",0.3,"UNK",2,2,"YES",2,"YES","NO",NA,"YES","Fun","YES","Fun",44.6463808168016,4.70922612866427e-09,1.99460588531791e-06,"YES",5.76860740890435,3.9964631649316e-09,2.92157454271914e-06,"YES",0.759,5,TRUE,TRUE,"NEO.TNBCCL | k_all_concordant | Fun-CIM | rho>=0.3 | top 200"
"NEO.TNBCCL","Fun","Fun_only",0.3,"HCFC1R1",2,2,"YES",2,"YES","NO",NA,"YES","Fun","YES","Fun",53.5023065583902,6.68964054618133e-11,1.53360009521207e-07,"YES",5.78712789996623,3.58000312674736e-09,2.92157454271914e-06,"YES",0.753,6,TRUE,TRUE,"NEO.TNBCCL | k_all_concordant | Fun-CIM | rho>=0.3 | top 200"
"NEO.TNBCCL","Fun","Fun_only",0.3,"PML",2,2,"YES",2,"YES","NO",NA,"YES","Fun","YES","Fun",42.604187478821,1.25015503079558e-08,4.27597171669825e-06,"YES",5.75006644479236,4.46041914918952e-09,2.92157454271914e-06,"YES",0.704,7,TRUE,TRUE,"NEO.TNBCCL | k_all_concordant | Fun-CIM | rho>=0.3 | top 200"
"NEO.TNBCCL","Fun","Fun_only",0.3,"BRPF3",2,2,"YES",2,"YES","NO",NA,"YES","Fun","YES","Fun",44.4310480127288,5.22034255699345e-09,1.99460588531791e-06,"YES",5.70808812990314,5.71261306061022e-09,3.27404136036223e-06,"YES",0.756,8,TRUE,TRUE,"NEO.TNBCCL | k_all_concordant | Fun-CIM | rho>=0.3 | top 200"
"NEO.TNBCCL","Fun","Fun_only",0.3,"COPS7B",2,2,"YES",2,"YES","NO",NA,"YES","Fun","YES","Fun",42.0340132004097,1.64130117353059e-08,4.35675895944477e-06,"YES",5.67449682334876,6.95484490624684e-09,3.5431070994602e-06,"YES",0.738,9,TRUE,TRUE,"NEO.TNBCCL | k_all_concordant | Fun-CIM | rho>=0.3 | top 200"
"NEO.TNBCCL","Fun","Fun_only",0.3,"PHACTR4",2,2,"YES",2,"YES","NO",NA,"YES","Fun","YES","Fun",44.4407961004811,5.19605095524075e-09,1.99460588531791e-06,"YES",5.62835044734103,9.0970575506404e-09,4.17100088696862e-06,"YES",0.751,10,TRUE,TRUE,"NEO.TNBCCL | k_all_concordant | Fun-CIM | rho>=0.3 | top 200"
"NEO.TNBCCL","Fun","Fun_only",0.3,"ZFYVE19",2,2,"YES",2,"YES","NO",NA,"YES","Fun","YES","Fun",50.4768750349865,2.87093806683586e-10,3.2908127591106e-07,"YES",5.60504651993047,1.04099518810027e-08,4.28335861903808e-06,"YES",0.74,11,TRUE,TRUE,"NEO.TNBCCL | k_all_concordant | Fun-CIM | rho>=0.3 | top 200"
"NEO.TNBCCL","Fun","Fun_only",0.3,"TECR",2,2,"YES",2,"YES","NO",NA,"YES","Fun","YES","Fun",40.5220117108442,3.37552062751863e-08,7.21593652855161e-06,"YES",5.58758528327759,1.15124346480426e-08,4.28335861903808e-06,"YES",0.714,12,TRUE,TRUE,"NEO.TNBCCL | k_all_concordant | Fun-CIM | rho>=0.3 | top 200"
"NEO.TNBCCL","Fun","Fun_only",0.3,"MLLT1",2,2,"YES",2,"YES","NO",NA,"YES","Fun","YES","Fun",40.4686824871835,3.46239048262018e-08,7.21593652855161e-06,"YES",5.57828967545049,1.21447463571418e-08,4.28335861903808e-06,"YES",0.696,13,TRUE,TRUE,"NEO.TNBCCL | k_all_concordant | Fun-CIM | rho>=0.3 | top 200"
"NEO.TNBCCL","Fun","Fun_only",0.3,"GUSB",2,2,"YES",2,"YES","NO",NA,"YES","Fun","YES","Fun",44.8455850474768,4.28098404823691e-09,1.99460588531791e-06,"YES",5.53297391172442,1.57423157495515e-08,5.15560840797812e-06,"YES",0.743,14,TRUE,TRUE,"NEO.TNBCCL | k_all_concordant | Fun-CIM | rho>=0.3 | top 200"
"NEO.TNBCCL","Fun","Fun_only",0.3,"NELFA",2,2,"YES",2,"YES","NO",NA,"YES","Fun","YES","Fun",39.9940115193236,4.3407833576318e-08,7.65480449797762e-06,"YES",5.50789817560955,1.81571671568128e-08,5.55004076093246e-06,"YES",0.723,15,TRUE,TRUE,"NEO.TNBCCL | k_all_concordant | Fun-CIM | rho>=0.3 | top 200"
